candidate,classification,retains_accessibility,retains_chase,size_neutral,vs_D,vs_A,vs_M,vs_eligible_cards,top10_spearman,degeneracy
CA0_desirability_only,mostly_desirability_restated,False,False,True,1.0,-0.1506,0.2826,0.4348,0.5506,D. Carries no structural information by construction; the simplicity benchmark.
CA1_accessible,mostly_accessibility_restated; retains_both_accessibility_and_chase,True,True,False,0.1584,0.9156,-0.4437,-0.6435,-0.261,D*A - monotone INCREASING in A. A pure accessibility taste.
CA2_chase,mostly_chase_intensity_restated; retains_both_accessibility_and_chase,True,True,False,0.5649,-0.5013,0.9302,0.7767,0.8649,D*(1-A) - monotone DECREASING in A. A pure scarcity taste. This is D x M*.
CA3_geometric_balance,retains_both_accessibility_and_chase,True,True,True,0.5195,0.3922,0.328,0.0156,0.2935,"D*sqrt(A*(1-A)) - a HUMP peaking at A=0.50. Rewards the middle BY CONSTRUCTION, not by evidence. NOT INJECTIVE: A=0.2 and A=0.8 score identically, so a highly accessible set and an extreme-chase set are declared equally appealing."
CA4_linear_75_25,genuinely_distinct,True,False,True,0.5571,0.4753,0.2423,-0.0689,0.2753,"D*(+0.50*A + 0.25) - linear in A, favouring accessibility. Structural content scales with |wA-wM| = 0.50."
CA4_linear_60_40,genuinely_distinct,False,True,True,0.6584,0.0182,0.6483,0.3653,0.6429,"D*(+0.20*A + 0.40) - linear in A, favouring accessibility. Structural content scales with |wA-wM| = 0.20."
CA4_linear_50_50,genuinely_distinct,False,True,True,0.6805,-0.1662,0.7743,0.52,0.7753,D*((wA-wM)*A + wM) with wA=wM -> the A term CANCELS and the candidate collapses to a rescaled D (0.50*D). Zero structural content: fully DEGENERATE.
CA4_linear_40_60,mostly_chase_intensity_restated; retains_both_accessibility_and_chase,True,True,False,0.6636,-0.3247,0.8548,0.6545,0.8377,"D*(-0.20*A + 0.60) - linear in A, favouring chase intensity. Structural content scales with |wA-wM| = 0.20."
CA4_linear_25_75,mostly_chase_intensity_restated; retains_both_accessibility_and_chase,True,True,False,0.6026,-0.4078,0.9029,0.7137,0.8545,"D*(-0.50*A + 0.75) - linear in A, favouring chase intensity. Structural content scales with |wA-wM| = 0.50."
CA5_interaction_45_45_10,genuinely_distinct,False,True,True,0.6571,-0.1286,0.7639,0.4901,0.7455,D*(cancels (wA=wM) + 0.45 + 0.10*A*(1-A)) - the interaction term A*(1-A) is the SAME hump as CA3. With wA=wM the linear part cancels and the candidate becomes a pure rescaled hump: it rewards the middle by construction.
CA5_interaction_40_40_20,genuinely_distinct,False,True,True,0.6468,-0.0883,0.7327,0.4472,0.7234,D*(cancels (wA=wM) + 0.40 + 0.20*A*(1-A)) - the interaction term A*(1-A) is the SAME hump as CA3. With wA=wM the linear part cancels and the candidate becomes a pure rescaled hump: it rewards the middle by construction.
CA5_interaction_35_35_30,genuinely_distinct,False,True,True,0.6364,-0.0026,0.6742,0.3809,0.6416,D*(cancels (wA=wM) + 0.35 + 0.30*A*(1-A)) - the interaction term A*(1-A) is the SAME hump as CA3. With wA=wM the linear part cancels and the candidate becomes a pure rescaled hump: it rewards the middle by construction.
CA6_dual_path_utility,genuinely_distinct,False,False,True,0.7649,0.2623,0.2481,0.1287,0.4195,D*(floor + gain*P). Independent of position on the A<->M axis by construction; reads the ORTHOGONAL dual-path structure instead. Does not encode a taste.
